id, x, y, freq, label
0, -21.692204, -0.523716, 4022, gay
1, -20.823292, 1.481612, 4288, seattle
2, -1.712453, -36.470436, 52, atkins
3, -48.671406, -16.718929, 50, pm
4, -1.783517, -18.619577, 44, page
5, -9.227541, 1.541438, 170, stories
6, -3.853598, -9.864130, 106, exile
7, -12.536243, -54.310005, 46, belonging
8, -3.501206, -50.325256, 36, gary
9, -23.369368, -53.403694, 26, l
10, -16.774981, -16.194887, 498, university
11, -16.780115, -16.353186, 772, washington
12, -15.718730, -14.822800, 186, press
13, 24.483591, 18.505701, 14, london
14, 40.279217, -32.348740, 6, iii
15, -14.064214, -3.909090, 1218, new
16, -8.701068, -13.320874, 76, introduction
17, -1.975980, -29.561895, 30, author
18, -54.421581, -18.017963, 16, contents
19, -3.154680, -6.767815, 102, list
20, -55.323086, -22.419819, 16, illustrations
21, -55.052525, 4.967714, 12, vii
22, -30.697302, 47.896461, 12, acknowledgments
23, -12.840353, 56.832737, 10, ix
24, -1.113048, 5.213757, 286, part
25, 3.816781, 6.526100, 1606, one
26, 8.355096, -18.232841, 64, imagining
27, -42.918591, -17.916353, 24, prologue
28, -14.740872, -16.629147, 534, law
29, -14.555919, -16.426765, 284, sodomy
30, -0.595981, 1.388726, 172, mudflat
31, -11.187759, -16.341070, 174, mental
32, -11.100969, -16.528461, 338, health
33, -6.717556, -32.122299, 86, psychiatric
34, -17.505844, -62.454529, 36, pick
35, 8.743326, 4.510226, 868, two
36, 0.094427, 2.372611, 104, creating
37, 8.903705, -27.702087, 74, refuges
38, -2.517829, -9.225307, 82, saloons
39, 0.804661, -8.341518, 116, vaudeville
40, -33.397556, 47.659897, 18, stirrings
41, -19.851839, -65.657097, 44, resistance
42, -12.676676, 6.248309, 254, dance
43, -33.751572, 33.415821, 22, enemy
44, -51.759583, -46.843578, 40, crossing
45, -63.536491, -30.459511, 28, challenging
46, 6.859800, 3.364453, 808, police
47, 9.508049, 3.701753, 366, three
